0,-1
0.004,-3
0.006666667,-2
0.01,4
0.013333333,1
0.016666667,-4
0.02,-3
0.023333333,5
0.026666667,-1
0.03,-2
0.033333333,-1
0.036666667,-5
0.043666667,-1
0.048,-1
0.055333333,2
0.06,-1
0.067,-1
0.072333333,2
0.078666667,2
0.085666667,-3
0.090333333,-1
0.097333333,0
0.102,0
0.109,-3
0.113666667,-4
0.120666667,-2
0.125333333,2
0.132333333,2
0.138666667,-1
0.145,-2
0.152,-2
0.156666667,-4
0.163666667,0
0.168333333,-4
0.175666667,1
0.182333333,1
0.188333333,-1
0.195333333,-5
0.200333333,-1
0.206333333,0
0.213333333,-2
0.218666667,0
0.224333333,-5
0.230333333,-2
0.236,-1
0.242,-1
0.247333333,-2
0.254333333,0
0.261,-5
0.268,0
0.273333333,-1
0.279333333,1
0.284666667,-1
0.291666667,-1
0.298333333,-1
0.303,3
0.31,-2
0.316,-3
0.321333333,1
0.326666667,1
0.333333333,0
0.339,3
0.345666667,-5
0.351666667,-1
0.357,-4
0.363666667,0
0.369,0
0.376333333,5
0.381,-1
0.388,-1
0.393333333,-3
0.398,2
0.403666667,-1
0.408,-1
0.411666667,1
0.416333333,-1
0.421666667,-1
0.427,-1
0.431,2
0.435333333,1
0.44,-1
0.446666667,-2
0.454,4
0.458666667,-8
0.464666667,-9
0.470666667,14
0.476666667,1
0.480666667,-9
0.486,7
0.49,-10
0.493666667,9
0.499333333,-1
0.504666667,-11
0.510666667,-9
0.514666667,-8
0.521,-3
0.526,-4
0.529666667,9
0.533333333,-6
0.538666667,-8
0.542333333,-13
0.547666667,0
0.551333333,0
0.558,13
0.564333333,1
0.571,-1
0.576333333,-1
0.582666667,2
0.589,-1
0.595666667,-7
0.602,2
0.608666667,-1
0.615,0
0.621666667,-1
0.628,-2
0.634333333,-3
0.641,-3
0.647333333,-4
0.654,8
0.659333333,34
0.666333333,2
0.671,-1
0.678,-7
0.682666667,-4
0.689666667,28
0.694333333,7
0.701333333,1
0.706333333,-26
0.713666667,-3
0.718333333,43
0.725,-6
0.731666667,3
0.738,-3
0.744333333,-6
0.751,-7
0.757333333,-14
0.764,-5
0.770333333,0
0.776666667,1
0.783333333,1
0.790333333,11
0.795,0
0.800333333,1
0.807666667,-14
0.812333333,-7
0.819,-10
0.825333333,-7
0.832,-7
0.838333333,-21
0.844,-12
0.849333333,5
0.854333333,15
0.86,5
0.866,-1
0.873,0
0.878,12
0.885,-3
0.890333333,-1
0.896666667,-5
0.903333333,-1
0.910333333,9
0.915666667,-1
0.921,-5
0.925,11
0.929666667,-1
0.935333333,-1
0.94,3
0.946333333,-2
0.953666667,-3
0.958,-4
0.961666667,-1
0.968,8
0.971666667,-3
0.977,-1
0.981666667,0
0.986333333,-1
0.990666667,-2
0.995,-1
