,0.099768,0.106802,0.113836,0.12087,0.127904,0.134937,0.141971,0.149005,0.156039,0.163073,0.170107,0.177141,0.184174,0.191208,0.198242,0.205276,0.21231,0.219344,0.226378,0.233411,0.240445,0.247479,0.254513,0.261547,0.268581,0.275615,0.282648,0.289682,0.296716,0.30375
6.71,592,928,768,584,472,432,280,224,256,264,192,112,168,792,2096,2752,2368,1464,816,448,152,240,328,368,192,144,464,448,216,192
